,話者,I(明瞭さ),F(親密さ),C(社会階層)
142,K004_022_1,1.9474742397587332,-1.7542337805677228,0.9136441543602081
143,K004_022_2,2.2927492481939376,-1.735624685253857,1.426129173281793
144,K005_001_1,2.2961395858406504,-1.7321328656279589,1.447352525590275
145,K005_001_2,2.0168342071088454,-1.2443383866741529,1.0122837204856134
146,K005_002_1,2.0354176391224557,-1.0722358127564153,0.956389517128582
147,K005_002_2,1.9325875982035998,-0.8909170079555622,0.7427533659875535
148,K005_003_1,1.9788145578913656,-1.1890866612071875,0.8088538962215162
149,K005_003_2,1.5841751259586507,-0.7049324721080445,0.19180149423581183
150,K005_005_1,1.8484539238697828,-1.3419321407651064,0.6870541880845087
151,K005_005_2,2.743983938317105,-2.106954027298635,1.5817438948617044
152,K005_006_1,2.1209804574379207,-1.299038630047818,1.2463815417833066
153,K005_006_2,1.7055908613741804,-1.1777800206342794,0.7028583665832602
154,K005_012_1,1.8368906317165388,-0.786684355688999,0.6615376526874742
155,K005_012_2,1.7071298816400675,-0.7729157272408437,0.7682418258783332
156,K005_016_1,2.082101818234946,-1.1668703445065176,0.967114769890966
157,K005_016_2,1.8514840359034148,-1.0494343197904477,0.6557864333585707
158,K005_019_1,,,
159,K005_019_2,,,
160,K005_019_1,2.2218966729047938,-1.404231832277201,1.1088291519344957
161,K005_019_2,2.18692935092392,-1.5234568155595845,1.2482974891846574
162,K005_020_1,2.1092356169652504,-1.354753850087524,1.0593627107952808
163,K005_020_2,1.7585083234181216,-0.77423512868587,0.7015585194065632
164,K005_021_1,1.9291041502149688,-0.9990797193143909,0.6693665870287279
165,K005_021_2,2.6120285184752294,-1.8804736076200552,1.5533804271767016
166,K005_021_1,1.8137159619020695,-0.6123801861050868,0.32676915482528823
167,K005_021_2,2.507681860623037,-1.9321666717880959,1.6024267279258722
168,K005_024_1,2.0780422168026242,-0.6723861449647207,0.5262019630677092
169,K005_024_2,,,
170,K005_027_1,2.16480567097152,-1.4419655722804767,1.0538035968947512
171,K005_027_2,2.1958234779760173,-1.2526888366918039,0.9783044798902589
172,K005_028_1,1.693313470789726,-0.8668893670026043,0.33398722541270986
173,K005_028_2,2.37696808110155,-1.515191808174156,1.270465027752941
174,K005_031_1,2.3732370141038865,-1.6315281976441156,1.0284531406571378
175,K005_031_2,2.301554702101004,-1.2306989771066734,1.078734996517963
176,K005_033_1,1.3050398483706696,-0.5236861083566214,-0.19880697600291436
